"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256863448.77086","2069870129.87013","1272835453.42634","1201312829.27524","1315158636.67553","1468317435.20148","1596968946.23708","1639492444.76152","1893726437.26462","1845482173.02732","1911563668.85006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469511.10191","6384452066.5146","9206301269.79164","11662040713.8753","8647937081.2562","9260285755.62424","10142111824.5835","10619320682.9474","11121464437.0415","11609513246.7958","10553337518.414","10546136235.5219","11527458709.0158","12457940694.7395","13619290539.2116","12641698583.2152","13878908628.9378","19513506553.1251","24185982215.6543","25955275380.0321","",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","647000000","721000000","750000000","871000000","","","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77507407.4074074","88040740.7407407","109596296.296296","132451851.851852","149388888.888889","166444444.444444","184866666.666667","212214814.814815","246370370.37037","297562962.962963","346866666.666667","411396296.296296","455174074.074074","478718518.518519","504337037.037037","525133333.333333","565662962.962963","625081481.481481","616051851.851852","679140740.740741","734422222.222222","789788888.888889","835544444.444444","901003703.703704","877774074.074074","898092592.592592","948100000","1026329629.62963","1143896296.2963","1303674074.07407","1487381481.48148","1557640740.74074","1386518518.51852","1298348148.14815","1287359259.25926","1364729629.62963","1325496296.2963","1378707407.40741","1437485185.18519","1489603703.7037","1534855555.55556","1661529629.62963","1726448148.14815","1411637037.03704","1602125925.92593","1866566666.66667","2005785185.18518","2207622874.07407","",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18635682981.7093","19713123154.0997","19953923192.6277","21573443451.751","23835843813.735","26014244162.2791","27349284375.8855","30487524878.004","32763365242.1384","36738245878.1193","41395206623.2331","45283847245.4156","52117990654.2056","63923126201.1531","89086219602.0634","97440939505.6671","105209354855.787","110504702913.512","118660813779.849","135093718050.665","150200557103.064","177151979565.773","194323071830.52","177523719680.081","193749932078.26","180861108959.102","182707050923.335","189726707252.515","236461079970.431","300264309002.14","311840666465.053","326416407860.792","325982966981.415","312568858909.5","323269456935.317","368725126225.126","401962517479.122","436321902767.408","400361527504.578","390347787943.351","416901962163.479","380360222861.197","396436967262.563","468517181129.878","615643050220.515","696811489612.816","749708370332.989","856603595823.192","1058448244063.77","931761689770.843","1152566632022.13","1402939868653.4","1552728401401.58","1583737461925.39","1474677007565.64","1356805839935.9","1211588128417.61","1330890554614.09","1433144978761.67","1398349602956.35","1333336461648.09","1560617493202.69","1695627535475.8","1734451264655.6","1757022451652.83","",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6624086313.14334","7346566037.83392","7793042529.15992","8414050621.01716","9213648655.97511","10041659445.118","10939526218.6393","11634569521.9273","12499863917.1003","13647475854.0287","15312791743.8476","17788536733.1204","21973207929.0434","29399860144.7748","35051468639.576","39902300703.1682","42791707448.0325","51343861460.328","61809208755.804","73647694287.1848","81737498404.5948","70755997062.3812","70996111962.5716","71838528420.4075","67719055773.3306","69114996009.577","98648254168.5444","123682091858.946","132817124707.456","132584448257.93","165811372382.912","173113449616.971","194314032056.098","189634029338.696","202738023129.743","240094169510.031","235952581232.129","211724812267.448","217068085815.918","216421809125.916","196181599831.287","196477206829.33","212837224022.813","260779834340.097","299210411454.823","313952317330.776","333905979332.481","386760177589.497","429234399096.173","399290118782.429","389827789217.634","428954737064.057","406750487603.59","426580502769.417","438556021078.034","379546097300.633","393687359770.273","414926138132.691","452582294972.775","442983642371.842","434397601557.696","480466363176.806","473221298968.216","516670509628.876","534790720466.822","",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8884848484.84848","5344000000","444658671.586716","1570392598.14954","1193141110.35043","2417331192.9526","3176507376.31836","3962362387.47922","4446368570.6901","4581248566.50158","5272615722.96892","5707616203.72011","6236087738.28284","7276413079.11451","8680405740.94125","13245421880.834","20981929497.6188","33049419431.2244","48851293785.4483","44292427184.9492","52909294791.9262","65952796427.9473","69679944504.1972","74160560123.6902","75239785452.1022","53076235354.746","37866996882.9157","40866627351.9817","47112470051.7701","48174235294.1176","42693000000","54825411764.7059","78807470588.2353","72428470588.2353","74315882352.9412","",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339523.902476","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770740.207416","808077223.365746","870486065.883137","876794723.068586","825394519.423728","784654423.620476","915257323.3961","1117113079.73645","1273375078.44844","1356199387.42308","1611835857.04588","1775495032.424","2032135192.01248","2235812879.56709","2327402362.81574","2451624637.67157","2705826648.21019","2810532912.49975","2618093125.14687","2831362208.34039","2913411408.44783","2871555326.31029","3227847281.31544","3435598072.7935","4036192552.88879","3430949249.91221","3082433067.32634","",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11810619368.3874","12561701694.3319","13436827166.5187","14445805381.3872","16168044450.2523","17597783297.4583","18894891312.2977","20252508995.4745","21654856965.4281","24019653474.9959","26706196046.7931","29821661869.912","37209418018.5134","47743801490.3747","56033077879.0389","65678189097.2908","71113882967.6071","82839905458.6382","101246526194.441","116315456796.918","126829314388.191","104730018470.23","92095926187.5331","87184239053.2544","83349530159.1734","86268264148.3796","120018787249.413","149394404105.889","162299103675.261","164221056511.057","205331747947.851","210510999409.333","234781652446.675","224721795708.955","244884129491.198","288025588396.278","279201433224.756","252708051420.839","258528339631.029","258245733221.468","236792460312.471","236746141604.37","258383599375.177","318082528506.588","369214712443.206","385714762230.039","408259840868.823","470922156309.453","517328087920.078","485014525992.461","481556503720.001","527196649048.639","498414364944.961","524097026598.55","537987419164.351","461044767544.531","474271566739.729","500908767351.53","542638913427.921","536726344405.489","529694473501.791","598522422241.851","591085783326.267","651330595110.011","671370081636.406","",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195578.434497","235668220.508202","236434954.038578","253927697.25805","269819005.87814","289908680.426395","302925235.151997","306221953.104911","326323105.26476","330748244.539574","333627713.494438","335073027.54117","410331856.991218","504376074.185709","554654860.702577","676870140.341529","698408261.922237","750049778.84069","928843469.431727","1186231019.82044","1405251846.54048","1291120188.43104","1267778670.35902","1095348199.43911","1051134008.78979","1045712789.14884","1336102025.27763","1562412227.90058","1620246083.79478","1502294416.17129","1959965330.14765","1986437796.53053","1695315305.70308","2274558082.76135","1598075943.86774","2169627137.9207","2361116449.39308","2268301646.46707","2455092686.34712","3677393998.74486","3519991440.47913","3666222635.13875","4194342686.2178","5349258094.48239","6190270380.49856","6567654954.38903","7034111314.88812","8169048382.83875","9787734526.23965","9738626517.00319","9535345015.78355","10693321363.6574","11141358115.8991","12517845123.9315","13284527846.9081","11388160996.7738","11821065853.3838","12701655836.9467","14262408089.9261","14391686313.4641","15686741883.934","17687623530.3355","17425405090.862","19673291004.1444","21482643706.4249","",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442815.821186","350247234.260712","379567099.249422","394040667.106335","410321644.964911","422916789.7483","433889766.239436","450753923.548048","460442689.376378","478298645.39382","458404268.761971","482411179.121178","578595521.990135","674773569.877548","751133430.449301","939972703.463021","976547188.054778","1131224878.18865","1475583644.93614","1748480620.52397","1928719888.20688","1775842333.57042","1754450096.23721","1600278605.25465","1459880132.14107","1552493196.28424","2036303357.68113","2369834949.73234","2616040478.99309","2615587733.97303","3101300778.56414","3135045584.08387","3356692505.18266","3199536465.23328","1895290637.09504","2379517975.28056","2586550595.41013","2447669101.95178","2804902367.14687","3389566712.66037","2968370087.59759","3190371080.94768","3622350062.96053","4740768142.67494","5451688537.60959","6146353173.34929","6547419820.38113","7625722836.76847","9451435490.11467","9450696873.34326","10109619740.6994","12080295977.5632","12561015156.5683","13444300485.8412","13943016076.7436","11832159315.6298","12833363045.3367","14106955615.3442","15890066221.2882","16032813503.3707","17725010532.5268","19697516284.3787","18622421394.6133","20112614449.2039","23124729853.0218","",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274894083.33333","4817580375","5081413541.66667","5319458562.5","5386054833.33333","5906636791.66667","6439687854.16667","7253575687.5","7483685770.83333","8471006437.5","8992722166.66667","8751843187.5","6288245866.66667","8086725729.3407","12512460519.7088","19448348073.4565","10117113333.3333","9651149301.8746","13281767142.8571","15565480321.9448","18138049095.6072","20249694002.448","18525399201.5968","17609048821.5488","18920840000","22278423076.9231","21774033333.3333","24298032258.0645","26579005558.3652","28781715188.8919","31598340778.2164","30957483949.5798","31708874594.1645","33166519417.9894","33768660882.793","37939748768.6567","46438484107.5795","48244309133.4895","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69476001239.419","71795736172.1561","79611644974.5571","91636997370.9772","102475158190.998","115275540051.262","128607482310.357","133310747603.483","149998957434.186","172886611653.786","195146608978.131","265224515675.034","293732446624.596","321362752441.78","351231654603.692","373979442362.193","416271647911.014","460131689083.083","437415333018.291","450119432068.852","",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","7628738475.37666","8602887622.63828","10832064941.654","9709240033.98973","18991484420.36","12294964837.6235","11316127378.9613","15031055046.7575","13637098579.109","13245990274.4581","14183446025.7389","16403043849.8297","21144957990.4681","26157743368.8716","29868657858.0082","34380536495.6739","44431257128.8618","54480684188.4442","52023801230.12","50689051382.4361","57681293006.9721","54297052002.2338","55819262374.9039","57080897012.1077","50765918159.1476","53929397039.2106","59167647387.606","66097226262.2191","68507731353.9114","70486877546.4901","84374613233.36","90506153293.6733","102199231384.542","113343355779.985","",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","391577364.077364","422181562.186708","534081183.680728","761132545.104221","1042176883.51827","1099107600.50569","1581709518.98261","1989060283.04271","2272042965.21126","2710160739.18742","3493834468.02865","3943109531.91489","4145421079.78723","4247030468.08511","4440874566.48936","4152376484.04255","3470746843.08511","3856922694.14894","4209834172.87234","4393093962.76596","4809511005.31915","5248911170.21277","5402232446.80851","5913001063.82979","6330627925.53191","6651180851.06383","6938166755.31915","7219407712.76596","7031309042.55319","7528469148.93617","9062898936.17021","8976196808.51064","9593510638.29787","11074813829.7872","13150159574.4681","15968723404.2553","18504760638.2979","21730000000","25710904255.3191","22938218085.1064","26805984042.5532","29914680851.0638","31963404255.3191","33823324468.0851","34772526595.7447","32523297872.3404","33884680851.0638","37204813829.7872","39567978723.4043","40446808510.6383","35837632978.7234","40840212765.9574","46458191489.3617","46192260638.2979","47109734308.5106","",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169736027.157764","190022030.403525","212170033.947205","237650038.024006","266560042.649607","300272048.043528","346800000","398000000","453800000","538700000","539500000","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720400000","10475300000","11139100000","11837600000","11880900000","12446900000","12819200000","13277000000","10363200000","12037000000","13896800000","15271300000","15832800000","",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7753478260.86957","6122959183.67347","4735044707.23969","3630668949.83246","1255802469.1358","1866572953.73665","2786045321.63743","3671909673.04401","4116774300.60671","4686256363.04707","5567772768.81188","5800615374.76094","6728220982.88398","8498894359.38629","10156541220.9704","11222796336.5426","12864841905.9543","15778734264.3787","19112796623.1175","17613949091.2294","17176315803.7298","18644233537.1093","17226735995.6905","18179109209.3892","18558734107.1478","16404348361.0926","17116926553.8513","18326373135.6099","20484058033.1144","20482608984.3316","20226038369.9191","23672712121.2671","24534663636.1778","27592361498.4057","29613572022.8993","",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17389558232.9317","18404907975.4601","16939790093.9054","16275073526.9819","14931435232.078","13972683273.5692","14500437519.8258","14128408565.7064","15222012660.4232","12138486532.0203","12736856827.9847","12354820143.8849","14594900944.7658","17825444724.4878","23141566292.9462","30210091836.8294","36961894281.3444","45275711995.825","60752106347.126","50873167326.0414","57231904542.8755","61762382327.9319","65685890438.8922","75527558966.4473","78813069120.9984","56454769844.7632","47723545321.259","54725405751.1559","60031026576.26","64410170653.4569","61371673344.7424","69673747131.87","73775179924.603","72478760370.4258","75961865471.9129","",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28072478.0724781","29964999.965","31857591.8575919","33750113.7501138","36194586.1945862","40110040.1100401","44450044.4500445","47431255.747674","44999910.00018","47399905.2001896","53339893.3202134","59074687.1961851","65998069.3847631","78214767.8301496","103160450.445869","118194026.251574","97094227.2292471","117650000","136300000","151800000","257400000","260750000","248550000","262150000","290350000","287300000","311500000","371100000","421450000","491100000","546750912.28848","596682100","695741150","752255150","771838000","818590250","850339100","872916050","929047000","999713050","1138138100","1172045150","1243912050","1308280250","1400202000","1474298400","1590463100","1706190450","1738453600","1688012750","1748988400","1831576700","1917083500","2035191450","2138242200","2193095150","2239604950","2266028250","2285915050","2381187850","2047284600","2428606250","2846604350","3052362650","3203631800","",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","72400000","76500000","80700000","82600000","92200000","98000000","115000000","134800000","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634900000","1679900000","1820359900","1867160100","2030750000","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","6144000000","6767000000","6980000000","6656000000","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7225977000","7423465000","6887364000","7290037000","7874381000","8579242000","9233600000","",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","377020202.020202","410101010.10101","448400673.400673","482828282.828283","544023569.023569","604377104.377104","669191919.191919","755808080.808081","857912457.912458","929629629.62963","1017003367.00337","1095622895.6229","1257615644.97932","1262968515.74213","2100249875.06247","2404697651.17441","2731984007.996","3227436281.85907","3758220889.55522","4421336382.94397","4537479608.48287","5891598694.9429","5594126368.90981","5422656823.38212","6169483225.35915","5377276554.93016","3959382833.13461","4347956337.93221","4597612362.2748","4715973437.43673","4867582597.51312","5343262457.10226","5643868748.68126","5734699488.84934","5981222858.82727","6715161732.22658","7396949126.35685","7925736821.45034","8497494652.12546","8285064434.56826","8397855484.76908","8141516928.39489","7905485146.44351","8082399639.54305","8773451751.5121","9549122905.32852","11451844902.2214","13120108008.3477","16674276285.8956","17339992193.7322","19649723722.1034","23963164696.592","27084497481.9103","30659338885.6729","32996188017.3661","33000198248.9146","33941126193.9219","45927439594.7902","48414038842.2576","49056643589.0014","42313784081.042","47877892402.3155","50959081953.6903","52340206946.4544","54881327452.9667","",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","17030465539.3906","17275940449.3837","19231747851.5332","23287712878.2002","20963733694.9749","22465522884.0988","28283323733.1114","31086389194.961","33930457425.2613","37171640818.5863","42327664793.6934","48869830901.7878","58434858374.8696","83592275862.9982","109794519727.538","129203555238.827","153168949208.207","176344101401.941","200278646123.581","221338204480.222","237393489892.637","258015174748.648","271314113768.417","189656506321.431","188339974086.58","210879844638.877","256480852471.129","283056836893.838","307881930752.268","412990820287.42","390725626002.866","342609231342.783","328187960871.951","368295778245.09","525369851353.742","769333330411.575","850426433004.077","883206452795.124","863711007325.493","599642075004.471","655448188259.351","559983704094.17","509795270685.19","558233724164.711","669289321944.512","891633826625.407","1107626711163.23","1397114247188.89","1695855391757.96","1666996294252.12","2208838108484.35","2616156606579.21","2465228293706.86","2472819362043.74","2456043766032.38","1802211999456.42","1795693265999.04","2063514688805.78","1916933708352.71","1873288158838.63","1476107292151.95","1670647464062.96","1951923832083.87","2191131869706.02","2185821648943.86","",
